osm_id,osm_type,name,lat,lon,phone,type,city,state,address,opening_hours,website,source
835251736,way,Ambattur T1 Police Station,13.107314,80.152557,,police,,,,,,overpass
1152769900,node,Amberpet Police Station,17.389303,78.518244,,police,,,,,,overpass
357768607,way,Amberpet Police Station,17.389910,78.516741,,police,,,,,,overpass
11357598691,node,Amguri Police Station,26.812291,94.520876,,police,,,,,,overpass
4899609556,node,"Amravati City Kotwali, Police Station",20.930163,77.753666,,police,,,,,,overpass
346481825,way,Amrutahalli Police Station,13.056930,77.598530,,police,,,,,,overpass
11117899794,node,Amruthalur Police Station,16.119646,80.662431,,police,,,,24/7,,overpass
385542170,way,Amtala Phari,22.563476,88.301460,,police,,,,,,overpass
12892352602,node,Anandapuram Police Station,17.893175,83.371910,,police,,,,,,overpass
8239728733,node,Anandnagar Police Station,18.201600,76.041969,,police,,,,,,overpass
9876541717,node,Anantpura police station,25.122387,75.857026,,police,,,,,,overpass
743349811,way,Andhra Pradesh Special Police Force Station,15.829405,78.019284,,police,,,,,,overpass
7476292498,node,Anjugramam Police Station,8.148773,77.570497,,police,,,National Highway 7,,,overpass
260799534,way,Anjuna Police Station,15.590725,73.743645,,police,,,,,,overpass
12122699748,node,Annur Police Station,11.231549,77.101432,,police,,,,24/7,,overpass
802191552,way,Anthikad Police Station,10.460265,76.120452,,police,,,,,,overpass
7503613532,node,Anthikkad Police Station,10.460285,76.120447,,police,,,,,,overpass
11615592630,node,Anti Corruption Bureau Thane,19.205964,72.982633,,police,,,,,,overpass
5614785851,node,Anti Human Trafficking,11.934898,79.816040,,police,,,,,,overpass
8620230017,node,Anti corruption bureau,13.015648,76.105704,,police,,,,,,overpass
726595504,way,Anuppur Police Station,23.118864,81.699020,,police,,,,,,overpass
7881407653,node,Arakandanallur Police station,11.974109,79.225546,,police,,,,,,overpass
955020307,way,Aranmula Police Station,9.326605,76.685617,,police,,,,,,overpass
294725413,way,"Armed Reserve Camp, Maloorkunnu",11.298975,75.814150,,police,,,,,,overpass
6164568045,node,Armed Reserve Police Parade Ground,9.954723,76.361028,,police,,,,,,overpass
449193375,way,Armed Reserve-Kallekkad,10.784293,76.601338,,police,,,,,,overpass
2958259459,node,Arsikere Rural Police Station,13.312570,76.256867,,police,,,,,,overpass
5030744829,node,Arundalpet Police Station,16.303942,80.437726,,police,,,,,,overpass
7637065266,node,Aruvikkara police station,8.570218,77.016452,,police,,,Aruvikkara Check Dam cum Bridge (DS),,,overpass
984141234,way,Aryancode Police Station,8.471820,77.128089,,police,,,,,,overpass
7466818595,node,Asansol South Police Station,23.685009,86.976350,,police,,,,,,overpass
403473919,way,Ashok Nagar Police Station,12.971632,77.610204,,police,,,,,,overpass
1402109581,node,Ashok Vihar Police Station,28.692522,77.173905,,police,,,,,,overpass
3348298397,node,Ashoknagar Police Station,19.989376,73.713806,,police,,,,,,overpass
313978170,way,Ashokpuram Police Station,12.289232,76.631360,,police,,,,,,overpass
11057165392,node,Ashtavinayak Police Station,18.394021,76.567605,,police,,,,,,overpass
6222432287,node,Asif Nagar Traffic Police Station,17.398992,78.458102,,police,,,,,,overpass
13246779352,node,Assistant Comissioner of Police Cyber Crime Gurugram,28.451390,77.095488,,police,,,,,,overpass
13246779351,node,Assistant Comissioner of Police DLF Subdivision Gurugram,28.451337,77.095474,,police,,,,,,overpass
4562922060,node,Athagarh Police Station,20.521696,85.629596,,police,,,,,,overpass
7008119590,node,Atmakur police station,18.075785,79.738187,,police,,,,,,overpass
9838860010,node,Aut Police Station,31.712001,77.201957,,police,,,,,,overpass
4209499020,node,Avenue Road Police Chowky,12.968018,77.578704,,police,,,,,,overpass
9419735033,node,Awadhpuri Thana,26.771241,82.178810,,police,,,,,,overpass
7169901704,node,Awantipora Police Station,33.911228,75.018057,,police,,,,,,overpass
5068324627,node,Ayad Police Station,24.587057,73.712287,,police,,,,,,overpass
