violation_code,state_code,override_fine,authority,effective_date
194D,TN,1000,Transport and Road Safety Wing Tamil Nadu,2019-09-01
181,MH,500,Transport Department Maharashtra public compounding schedule,2019-09-01
194E,DL,10000,Delhi Traffic Police published penalty schedule,2019-09-01
194D,KA,500,Bengaluru Traffic Police published FAQ schedule,2019-09-01
194D,KL,1000,Motor Vehicles Department Kerala baseline schedule,2019-09-01
183,GJ,1000,Transport Department Gujarat baseline schedule,2019-09-01
